"","PointName","DaysAfterN","BACS.PA","AREA","Route","Observer","TIME","Temp","Wind","Cloud","pcode","dsb"
"1.1","J1",3043,0,0,"JR",2,381,65,3,0,"1","1122"
"1.2","J1",3049,0,0,"JR",2,685,58,7,0,"1","1128"
"1.3","J1",3053,0,0,"JR",2,367,60,0,0,"1","1132"
"1.4","J1",3399,0,0,"JR",9,390,45,3,60,"1","1478"
"1.5","J1",3401,0,0,"JR",9,685,70,5,85,"1","1480"
"1.6","J1",3407,0,0,"JR",9,380,50,3,5,"1","1486"
"1.7","J1",3771,0,0,"JR",8,370,58,0,0,"1","1850"
"1.8","J1",3773,0,0,"JR",8,625,66,0,100,"1","1852"
"1.9","J1",3779,0,0,"JR",8,616,77,3,60,"1","1858"
"1.10","J1",4498,0,0,"JR",11,369,68,1,100,"1","2577"
"1.11","J1",4500,0,0,"JR",16,376,70,0,100,"1","2579"
"1.12","J1",4505,0,0,"JR",4,626,78,2,25,"1","2584"
"1.13","J1",4869,0,0,"JR",4,367,65,3,100,"1","68"
"1.14","J1",4870,0,0,"JR",11,361,69,1.5,69,"1","69"
"1.15","J1",4871,0,0,"JR",6,602,72,9,1,"1","70"
"1.16","J1",5227,0,0,"JR",10,376,50,5,100,"1","426"
"1.17","J1",5229,0,0,"JR",11,375,58,3,77,"1","428"
"1.18","J1",5237,0,0,"JR",16,357,58,1,20,"1","436"
"1.19","J1",5593,0,0,"JR",13,375,45,1,0,"1","792"
"1.20","J1",5594,0,0,"JR",12,392,48,0,0,"1","793"
"1.21","J1",5594,0,0,"JR",12,568,70,10,0,"1","793"
"1.22","J1",5601,0,0,"JR",16,368,50,0,20,"1","800"
"1.23","J1",5969,1,0,"JR",5,454,56,1,0,"1","1168"
"1.24","J1",5970,0,0,"JR",16,362,52,0,0,"1","1169"
"1.25","J1",5971,0,0,"JR",1,366,62,0,85,"1","1170"
"10.372","K10",3042,0,0,"LK",7,497,67,1,0,"10","42"
"10.373","K10",3044,0,0,"LK",7,582,70,3,0,"10","44"
"10.374","K10",3052,0,0,"LK",7,489,64,1,100,"10","52"
"10.375","K10",3400,0,0,"LK",3,480,60.3,2,100,"10","400"
"10.376","K10",3404,0,0,"LK",3,550,77.2,2,0,"10","404"
"10.377","K10",3408,1,0,"LK",3,467,44.1,0,0,"10","408"
"10.378","K10",3770,0,0,"LK",11,492,63,0,0,"10","770"
"10.379","K10",3772,0,0,"LK",11,521,68,4,0,"10","0"
"10.380","K10",3774,0,0,"LK",11,481,63,4,0,"10","2"
"10.381","K10",4136,1,0,"LK",11,619,67,2,10,"10","364"
"10.382","K10",4137,1,0,"LK",11,394,44,0,0,"10","365"
"10.383","K10",4143,1,0,"LK",11,573,70,1,100,"10","371"
"10.384","K10",4499,0,0,"LK",4,620,77,0,45,"10","35"
"10.385","K10",4505,0,0,"LK",11,447,59,0,20,"10","41"
"10.386","K10",4506,0,0,"LK",4,438,68,4,20,"10","42"
