Date,Year,PointName,Name Year,Name Year Run,SurveyID,AREA,Route ,Time,Temp (°F),Wind (mph) ,% Cloud,0-3min Passive BACS,4-6min Playback BACS,TotalBACS,TotalNOBO
5/1/2007,2007,J1,J1 2007,J1 2007 1,2007 1,CURE,JR,6:21,65,3,0,0,0,0,0
5/7/2007,2007,J1,J1 2007,J1 2007 2,2007 2,CURE,JR,11:25,58,7,0,0,0,0,0
5/11/2007,2007,J1,J1 2007,J1 2007 3,2007 3,CURE,JR,6:07,60,0,0,0,0,0,0
4/21/2008,2008,J1,J1 2008,J1 2008 1,2008 1,CURE,JR,6:30,45,3,60,0,0,0,0
4/23/2008,2008,J1,J1 2008,J1 2008 2,2008 2,CURE,JR,11:25,70,5,85,0,0,0,0
4/29/2008,2008,J1,J1 2008,J1 2008 3,2008 3,CURE,JR,6:20,50,3,5,0,0,0,0
4/28/2009,2009,J1,J1 2009,J1 2009 1,2009 1,CURE,JR,6:10,58,0,0,0,0,0,0
4/30/2009,2009,J1,J1 2009,J1 2009 2,2009 2,CURE,JR,10:25,66,0,100,0,0,0,1
5/6/2009,2009,J1,J1 2009,J1 2009 3,2009 3,CURE,JR,10:16,77,3,60,0,0,0,0
4/25/2011,2011,J1,J1 2011,J1 2011 1,2011 1,CURE,JR,6:09,68,1,100,0,0,0,0
4/27/2011,2011,J1,J1 2011,J1 2011 2,2011 2,CURE,JR,6:16,70,0,100,0,0,0,0
5/2/2011,2011,J1,J1 2011,J1 2011 3,2011 3,CURE,JR,10:26,78,2,25,0,0,0,0
4/30/2012,2012,J1,J1 2012,J1 2012 1,2012 1,CURE,JR,6:07,65,3,100,0,0,0,0
5/1/2012,2012,J1,J1 2012,J1 2012 2,2012 2,CURE,JR,6:01,,0-3,,0,0,0,0
5/2/2012,2012,J1,J1 2012,J1 2012 3,2012 3,CURE,JR,10:02,72,9,1,0,0,0,0
4/23/2013,2013,J1,J1 2013,J1 2013 1,2013 1,CURE,JR,6:16,50,5,100,0,0,0,0
4/25/2013,2013,J1,J1 2013,J1 2013 2,2013 2,CURE,JR,6:15,,3,,0,0,0,0
5/3/2013,2013,J1,J1 2013,J1 2013 3,2013 3,CURE,JR,5:57,58,1,20,0,0,0,0
4/24/2014,2014,J1,J1 2014,J1 2014 1,2014 1,CURE,JR,6:15,45,1,0,0,0,0,0
4/25/2014,2014,J1,J1 2014,J1 2014 2,2014 2,CURE,JR,6:32,48,0,0,0,0,0,0
4/25/2014,2014,J1,J1 2014,J1 2014 3,2014 3,CURE,JR,9:28,70,10,0,0,0,0,0
5/2/2014,2014,J1,J1 2014,J1 2014 4,2014 4,CURE,JR,6:08,50,0,20,0,0,0,0
5/5/2015,2015,J1,J1 2015,J1 2015 1,2015 1,CURE,JR,7:34,56,1,0,0,1,1,0
5/6/2015,2015,J1,J1 2015,J1 2015 2,2015 2,CURE,JR,6:02,52,0,0,0,0,0,0
5/7/2015,2015,J1,J1 2015,J1 2015 3,2015 3,CURE,JR,6:06,62,0,85,0,0,0,1
5/1/2007,2007,J10,J10 2007,J10 2007 1,2007 1,CURE,JR,8:22,75,0,0,0,0,0,0
5/7/2007,2007,J10,J10 2007,J10 2007 2,2007 2,CURE,JR,10:07,58,4,0,0,0,0,0
5/11/2007,2007,J10,J10 2007,J10 2007 3,2007 3,CURE,JR,7:42,60,0,0,0,0,0,0
4/21/2008,2008,J10,J10 2008,J10 2008 1,2008 1,CURE,JR,8:20,60,1,70,0,0,0,0
4/23/2008,2008,J10,J10 2008,J10 2008 2,2008 2,CURE,JR,9:40,70,5,95,0,0,0,0
4/29/2008,2008,J10,J10 2008,J10 2008 3,2008 3,CURE,JR,7:50,50,3,5,0,0,0,0
4/28/2009,2009,J10,J10 2009,J10 2009 1,2009 1,CURE,JR,7:43,63,2,0,0,0,0,0
4/30/2009,2009,J10,J10 2009,J10 2009 2,2009 2,CURE,JR,8:59,62,0,100,0,0,0,0
5/6/2009,2009,J10,J10 2009,J10 2009 3,2009 3,CURE,JR,8:48,70,3,90,0,0,0,0
5/1/2007,2007,J11,J11 2007,J11 2007 1,2007 1,CURE,JR,8:39,75,5,0,0,0,0,0
5/7/2007,2007,J11,J11 2007,J11 2007 2,2007 2,CURE,JR,9:45,58,6,0,0,0,0,0
5/11/2007,2007,J11,J11 2007,J11 2007 3,2007 3,CURE,JR,8:03,65,0,0,0,0,0,0
4/21/2008,2008,J11,J11 2008,J11 2008 1,2008 1,CURE,JR,9:10,60,3,75,0,1,1,0
4/23/2008,2008,J11,J11 2008,J11 2008 2,2008 2,CURE,JR,9:25,70,3,95,0,0,0,0
4/29/2008,2008,J11,J11 2008,J11 2008 3,2008 3,CURE,JR,8:35,50,5,5,0,0,0,0
4/28/2009,2009,J11,J11 2009,J11 2009 1,2009 1,CURE,JR,8:18,65,2,0,0,0,0,0
4/30/2009,2009,J11,J11 2009,J11 2009 2,2009 2,CURE,JR,8:33,61,3,100,0,0,0,0
5/6/2009,2009,J11,J11 2009,J11 2009 3,2009 3,CURE,JR,8:13,68,3,90,0,0,0,0
5/1/2007,2007,J12,J12 2007,J12 2007 1,2007 1,CURE,JR,8:51,75,0,0,1,2,2,0
5/7/2007,2007,J12,J12 2007,J12 2007 2,2007 2,CURE,JR,9:32,58,4,0,0,0,0,0
5/11/2007,2007,J12,J12 2007,J12 2007 3,2007 3,CURE,JR,8:14,65,0,0,0,0,0,0
4/21/2008,2008,J12,J12 2008,J12 2008 1,2008 1,CURE,JR,8:55,60,1,70,1,1,1,0
4/23/2008,2008,J12,J12 2008,J12 2008 2,2008 2,CURE,JR,9:15,70,2,95,0,0,0,0
4/29/2008,2008,J12,J12 2008,J12 2008 3,2008 3,CURE,JR,8:25,50,5,5,0,0,0,0
4/28/2009,2009,J12,J12 2009,J12 2009 1,2009 1,CURE,JR,8:27,66,2,0,0,0,0,2
4/30/2009,2009,J12,J12 2009,J12 2009 2,2009 2,CURE,JR,8:23,61,3,100,0,0,0,0
5/6/2009,2009,J12,J12 2009,J12 2009 3,2009 3,CURE,JR,8:03,67,0,90,0,0,0,0
4/25/2011,2011,J12,J12 2011,J12 2011 1,2011 1,CURE,JR,6:55,68,0,100,0,0,0,0
4/27/2011,2011,J12,J12 2011,J12 2011 2,2011 2,CURE,JR,8:06,73,5,100,0,0,0,0
5/2/2011,2011,J12,J12 2011,J12 2011 3,2011 3,CURE,JR,9:25,73,3,25,0,0,0,0
4/30/2012,2012,J12,J12 2012,J12 2012 1,2012 1,CURE,JR,7:06,65,5,100,1,1,1,0
5/1/2012,2012,J12,J12 2012,J12 2012 2,2012 2,CURE,JR,6:48,,0-5,,1,2,2,0
5/2/2012,2012,J12,J12 2012,J12 2012 3,2012 3,CURE,JR,9:14,69,6,20,2,1,0,0
4/23/2013,2013,J12,J12 2013,J12 2013 1,2013 1,CURE,JR,7:22,50,5,100,0,0,0,0
4/25/2013,2013,J12,J12 2013,J12 2013 2,2013 2,CURE,JR,7:01,,1,,0,0,0,
5/3/2013,2013,J12,J12 2013,J12 2013 3,2013 3,CURE,JR,7:09,58,10,100,0,0,0,0
4/24/2014,2014,J12,J12 2014,J12 2014 1,2014 1,CURE,JR,7:13,47,0,0,0,0,0,0
