DATE,Year,PointName,area,ROUTE,TIME,Temp,Wind ,Cloud,TotalBACS
125,2015,J1,1,1,454,56,1,0,1
126,2015,J1,1,1,362,52,0,0,0
127,2015,J1,1,1,366,62,0,85,0
125,2015,J12,1,1,645,74,1,1,0
126,2015,J12,1,1,423,55,0,0,0
127,2015,J12,1,1,412,65,0,85,0
125,2015,J16,1,1,630,73,4,1,0
126,2015,J16,1,1,439,55,0,0,1
127,2015,J16,1,1,425,65,0,85,1
126,2015,J18,1,1,656,80,0,75,0
126,2015,J18,1,1,462,57,0,0,0
127,2015,J18,1,1,436,65,0,90,1
126,2015,J21,1,1,638,80,0,50,0
126,2015,J21,1,1,515,57,0,0,0
127,2015,J21,1,1,456,65,0,80,0
125,2015,J23,1,1,484,56,1,0,0
126,2015,J23,1,1,494,57,0,0,0
127,2015,J23,1,1,475,65,0,75,0
125,2015,J3,1,1,447,56,1,0,1
126,2015,J3,1,1,372,52,0,0,0
127,2015,J3,1,1,356,60,5,75,0
125,2015,J7,1,1,435,56,1,0,0
126,2015,J7,1,1,381,52,0,0,0
127,2015,J7,1,1,345,60,0,75,0
125,2015,J9,1,1,665,75,4,5,0
126,2015,J9,1,1,401,55,0,0,0
127,2015,J9,1,1,395,62,0,80,0
125,2015,R1,1,1,418,56,1,0,3
126,2015,R1,1,1,516,60,0,0,3
127,2015,R1,1,1,405,65,0,75,3
125,2015,R12,1,1,533,64,1,2,2
126,2015,R12,1,1,375,65,0,10,0
127,2015,R12,1,1,552,65,10,70,2
125,2015,R14,1,1,363,64,4,4,0
126,2015,R14,1,1,576,70,0,10,0
127,2015,R14,1,1,346,65,5,80,0
125,2015,R16,1,1,564,64,4,4,2
126,2015,R16,1,1,476,70,0,30,0
127,2015,R16,1,1,446,65,5,80,0
125,2015,R18,1,1,388,64,4,2,0
126,2015,R18,1,1,596,70,0,40,0
127,2015,R18,1,1,465,65,10,90,1
125,2015,R20,1,1,461,64,1,2,0
126,2015,R20,1,1,445,70,0,40,0
127,2015,R20,1,1,482,65,10,95,0
125,2015,R25,1,1,432,56,1,0,1
126,2015,R25,1,1,500,57,0,0,1
127,2015,R25,1,1,490,65,10,95,0
125,2015,R3,1,1,353,56,1,0,0
126,2015,R3,1,1,505,60,0,0,0
127,2015,R3,1,1,384,65,0,75,1
125,2015,R5,1,1,558,57,1,0,0
126,2015,R5,1,1,614,60,0,0,1
127,2015,R5,1,1,540,65,0,75,1
125,2015,R6,1,1,431,57,1,0,0
126,2015,R6,1,1,526,60,0,0,1
127,2015,R6,1,1,416,65,5,60,0
125,2015,R8,1,1,510,57,1,2,0
126,2015,R8,1,1,400,60,0,5,1
127,2015,R8,1,1,586,65,5,60,0
125,2015,K10,1,2,613,58,0,0,0
128,2015,K10,1,2,628,64,4,0,0
125,2015,K12,1,2,573,55,0,5,0
128,2015,K12,1,2,602,64,1,2,0
125,2015,K15,1,2,346,55,0,0,1
128,2015,K15,1,2,607,70,4,2,0
125,2015,K17,1,2,376,55,0,0,0
128,2015,K17,1,2,347,70,4,2,0
125,2015,K18,1,2,361,54,0,0,1
128,2015,K18,1,2,573,70,4,2,0
