Point,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
J1,NA,NA,NA,NA,NA,4/4/2004,NA,NA,NA,NA,NA,NA,NA,2/22/2012,NA,NA,NA
J12,2/10/1999,NA,5/31/2001,NA,NA,NA,6/20/2005,NA,3/19/2007,NA,4/29/2009,NA,3/22/2011,NA,3/14/2013,NA,3/16/2015
J16,2/10/1999,NA,5/31/2001,NA,NA,5/4/2004,NA,NA,3/19/2007,NA,3/12/2009,NA,3/22/2011,NA,3/14/2013,NA,NA
J18,NA,3/3/2000,NA,6/4/2002,NA,6/10/2004,NA,3/9/2006,NA,3/10/2008,NA,6/8/2010,NA,3/15/2012,NA,4/3/2014,NA
J21,NA,5/31/2000,NA,NA,NA,1/16/2004,NA,2/28/2006,3/15/2007,NA,3/19/2009,NA,4/19/2011,NA,3/14/2013,NA,NA
J23,NA,5/31/2000,NA,NA,NA,1/16/2004,NA,2/28/2006,3/15/2007,NA,3/19/2009,NA,4/19/2011,NA,3/14/2013,NA,NA
J3,NA,NA,NA,1/17/2002,NA,NA,NA,NA,3/13/2007,NA,NA,4/20/2010,NA,3/15/2012,NA,NA,NA
J7,NA,NA,NA,NA,NA,NA,1/14/2005,NA,NA,NA,NA,NA,NA,NA,NA,4/1/2014,NA
J9,NA,3/6/2000,NA,NA,NA,NA,NA,3/1/2006,NA,4/16/2008,NA,3/19/2010,NA,4/2/2012,NA,NA,3/16/2015
K10,NA,NA,1/25/2001,NA,NA,3/15/2004,NA,NA,5/24/2007,NA,3/11/2009,NA,3/21/2011,NA,3/8/2013,NA,NA
K12,NA,NA,1/25/2001,NA,NA,2/19/2004,NA,NA,5/24/2007,NA,3/11/2009,NA,3/21/2011,NA,3/8/2013,NA,NA
K15,NA,NA,5/1/2001,3/11/2002,NA,3/4/2004,NA,4/25/2006,NA,3/13/2008,NA,6/24/2010,NA,3/28/2012,NA,NA,4/6/2015
K17,NA,3/3/2000,NA,12/16/2002,NA,NA,1/27/2005,NA,2/27/2007,8/9/2008,NA,NA,3/21/2011,NA,NA,NA,4/6/2015
K18,NA,3/3/2000,NA,12/16/2002,NA,NA,1/27/2005,NA,2/27/2007,8/9/2008,NA,NA,3/21/2011,NA,NA,NA,4/6/2015
K2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
K22,1/13/1999,5/25/2000,NA,3/1/2002,NA,NA,3/22/2005,NA,2/27/2007,NA,3/11/2009,NA,3/26/2011,NA,4/10/2013,NA,NA
K6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
K7,NA,NA,2/1/2001,NA,NA,2/19/2004,NA,6/1/2006,NA,4/11/2008,3/11/2009,NA,3/21/2011,NA,3/8/2013,NA,NA
K9,NA,NA,2/1/2001,NA,NA,2/19/2004,NA,6/1/2006,NA,4/11/2008,3/11/2009,NA,3/21/2011,NA,3/8/2013,NA,NA
L12,NA,NA,3/1/2001,NA,NA,NA,3/22/2005,NA,NA,3/3/2008,NA,NA,4/13/2011,NA,NA,NA,3/16/2015
L14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2/14/2012,NA,4/10/2014,NA
L16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
L18,NA,NA,NA,NA,NA,NA,NA,NA,2/9/2007,NA,3/9/2009,NA,6/6/2011,NA,4/10/2013,NA,NA
L21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3/21/2011,NA,3/8/2013,NA,NA
L23,NA,NA,3/1/2001,NA,NA,2/19/2004,NA,NA,NA,2/7/2008,NA,3/18/2010,NA,NA,3/8/2013,NA,NA
L24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3/21/2011,NA,3/8/2013,NA,NA
L6,NA,NA,NA,NA,NA,NA,NA,2/15/2006,NA,3/17/2008,NA,NA,NA,3/29/2012,NA,NA,NA
L9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
M1,NA,6/1/2000,NA,6/4/2002,NA,6/2/2004,NA,5/1/2006,NA,5/27/2008,NA,6/9/2010,NA,6/29/2012,NA,5/6/2014,NA
M10,2/8/1999,NA,5/24/2001,NA,4/29/2003,NA,NA,4/24/2006,5/10/2007,NA,6/22/2009,NA,5/25/2011,6/19/2012,NA,5/8/2014,NA
M12,2/8/1999,NA,5/24/2001,NA,4/29/2003,NA,5/26/2005,NA,NA,5/30/2008,NA,4/20/2010,NA,6/19/2012,NA,5/8/2014,NA
M14,2/8/1999,NA,NA,4/2/2002,NA,5/4/2004,NA,4/24/2006,NA,5/30/2008,NA,7/16/2010,NA,6/19/2012,NA,5/8/2014,NA
M16,2/8/1999,NA,NA,4/2/2002,NA,5/4/2004,NA,4/24/2006,NA,5/30/2008,NA,7/16/2010,NA,6/19/2012,NA,5/8/2014,NA
M20,3/17/1999,5/25/2000,NA,5/20/2002,NA,4/29/2004,NA,4/24/2006,NA,5/28/2008,NA,6/22/2010,NA,6/16/2012,NA,5/7/2014,6/24/2015
M22,3/17/1999,5/25/2000,NA,5/20/2002,NA,4/29/2004,NA,4/24/2006,NA,5/28/2008,NA,6/22/2010,NA,6/16/2012,NA,5/7/2014,6/24/2015
M25,2/8/1999,NA,1/25/2001,NA,6/27/2003,NA,6/13/2005,NA,5/11/2007,NA,6/24/2009,NA,5/20/2011,NA,5/31/2013,NA,6/23/2015
M3,NA,6/1/2000,NA,6/4/2002,NA,6/2/2004,NA,5/1/2006,NA,5/27/2008,NA,6/9/2010,NA,6/29/2012,NA,5/6/2014,NA
M5,NA,NA,NA,NA,2/5/2003,NA,NA,NA,1/30/2007,NA,NA,2/19/2010,NA,10/17/2012,10/17/2013,NA,2/6/2015
M7,NA,5/23/2000,NA,NA,NA,6/10/2004,NA,5/11/2006,NA,6/16/2008,NA,7/20/2010,NA,6/2/2012,NA,NA,5/6/2015
N11,NA,5/23/2000,NA,NA,NA,1/21/2004,NA,5/12/2006,NA,5/15/2008,NA,9/13/2010,NA,NA,6/12/2013,NA,5/29/2015
N12,NA,NA,5/31/2001,NA,4/30/2003,NA,5/19/2005,NA,5/15/2007,NA,5/20/2009,NA,8/25/2011,NA,NA,5/20/2014,NA
N14,NA,5/23/2000,NA,5/21/2002,NA,5/27/2004,NA,5/16/2006,NA,6/10/2008,NA,6/17/2010,NA,5/31/2012,NA,NA,NA
N17,NA,5/22/2000,NA,5/21/2002,NA,4/27/2004,NA,NA,NA,NA,3/6/2009,NA,3/25/2011,NA,6/22/2013,NA,6/18/2015
N2,NA,NA,NA,NA,2/5/2003,NA,NA,NA,1/30/2007,NA,NA,2/19/2010,NA,10/17/2012,10/17/2013,NA,2/6/2015
N20,NA,5/22/2000,NA,5/21/2002,NA,4/27/2004,NA,NA,NA,NA,3/6/2009,NA,3/25/2011,NA,6/22/2013,NA,6/18/2015
N23,2/8/1999,NA,NA,4/2/2002,NA,5/4/2004,NA,4/24/2006,NA,5/30/2008,NA,7/16/2010,NA,6/19/2012,NA,5/8/2014,NA
N26,NA,NA,6/4/2001,12/1/2002,NA,NA,NA,NA,NA,6/16/2008,NA,3/6/2010,NA,6/2/2012,NA,NA,5/6/2015
N4,NA,NA,2/19/2001,NA,NA,NA,1/20/2005,NA,2/15/2007,NA,3/19/2009,NA,NA,1/4/2012,NA,NA,NA
N6,NA,5/23/2000,NA,NA,NA,6/10/2004,NA,5/11/2006,NA,6/16/2008,NA,7/20/2010,NA,6/2/2012,NA,NA,5/6/2015
N9,NA,NA,5/30/2001,NA,NA,NA,NA,NA,1/9/2007,NA,4/9/2009,NA,5/25/2011,NA,NA,6/24/2014,NA
P1,NA,5/10/2000,NA,5/20/2002,NA,5/20/2004,NA,5/15/2006,NA,5/28/2008,NA,2/20/2010,NA,6/16/2012,NA,5/7/2014,NA
P13,NA,5/23/2000,NA,5/21/2002,NA,5/27/2004,NA,5/16/2006,NA,6/10/2008,NA,6/17/2010,NA,5/31/2012,NA,NA,NA
P16,NA,NA,6/4/2001,NA,NA,NA,2/1/2005,NA,5/23/2007,NA,5/13/2009,NA,6/16/2011,7/15/2012,NA,6/3/2014,NA
P17,NA,NA,6/4/2001,NA,NA,NA,2/1/2005,NA,5/23/2007,NA,5/13/2009,NA,6/16/2011,7/15/2012,NA,6/3/2014,NA
P21,NA,NA,6/4/2001,NA,NA,NA,2/1/2005,NA,5/23/2007,NA,5/13/2009,NA,6/16/2011,7/15/2012,NA,6/3/2014,NA
