Date,Year,DayOfYear,DaysAfterN,Day,PointName,Name Year,Name Year Run,AREA,Observer,Route ,TIME,Temp,Wind ,Cloud,Passive,PB,TotalBACS,BACS.PA
5/1/2007,2007,121,3043,121,J1,J1 2007,J1 2007 1,0,2,JR,381,65,3,0,0,0,0,0
5/7/2007,2007,127,3049,127,J1,J1 2007,J1 2007 2,0,2,JR,685,58,7,0,0,0,0,0
5/11/2007,2007,131,3053,131,J1,J1 2007,J1 2007 3,0,2,JR,367,60,0,0,0,0,0,0
4/21/2008,2008,112,3399,477,J1,J1 2008,J1 2008 1,0,9,JR,390,45,3,60,0,0,0,0
4/23/2008,2008,114,3401,479,J1,J1 2008,J1 2008 2,0,9,JR,685,70,5,85,0,0,0,0
4/29/2008,2008,120,3407,485,J1,J1 2008,J1 2008 3,0,9,JR,380,50,3,5,0,0,0,0
4/28/2009,2009,118,3771,848,J1,J1 2009,J1 2009 1,0,8,JR,370,58,0,0,0,0,0,0
4/30/2009,2009,120,3773,850,J1,J1 2009,J1 2009 2,0,8,JR,625,66,0,100,0,0,0,0
5/6/2009,2009,126,3779,856,J1,J1 2009,J1 2009 3,0,8,JR,616,77,3,60,0,0,0,0
4/25/2011,2011,115,4498,1575,J1,J1 2011,J1 2011 1,0,11,JR,369,68,1,100,0,0,0,0
4/27/2011,2011,117,4500,1577,J1,J1 2011,J1 2011 2,0,16,JR,376,70,0,100,0,0,0,0
5/2/2011,2011,122,4505,1582,J1,J1 2011,J1 2011 3,0,4,JR,626,78,2,25,0,0,0,0
4/30/2012,2012,121,4869,1946,J1,J1 2012,J1 2012 1,0,4,JR,367,65,3,100,0,0,0,0
5/1/2012,2012,122,4870,1947,J1,J1 2012,J1 2012 2,0,11,JR,361,69,1.5,69,0,0,0,0
5/2/2012,2012,123,4871,1948,J1,J1 2012,J1 2012 3,0,6,JR,602,72,9,1,0,0,0,0
4/23/2013,2013,113,5227,2303,J1,J1 2013,J1 2013 1,0,10,JR,376,50,5,100,0,0,0,0
4/25/2013,2013,115,5229,2305,J1,J1 2013,J1 2013 2,0,11,JR,375,58,3,77,0,0,0,0
5/3/2013,2013,123,5237,2313,J1,J1 2013,J1 2013 3,0,16,JR,357,58,1,20,0,0,0,0
4/24/2014,2014,114,5593,2669,J1,J1 2014,J1 2014 1,0,13,JR,375,45,1,0,0,0,0,0
4/25/2014,2014,115,5594,2670,J1,J1 2014,J1 2014 2,0,12,JR,392,48,0,0,0,0,0,0
4/25/2014,2014,115,5594,2670,J1,J1 2014,J1 2014 3,0,12,JR,568,70,10,0,0,0,0,0
5/2/2014,2014,122,5601,2677,J1,J1 2014,J1 2014 4,0,16,JR,368,50,0,20,0,0,0,0
5/5/2015,2015,125,5969,3045,J1,J1 2015,J1 2015 1,0,5,JR,454,56,1,0,0,1,1,1
5/6/2015,2015,126,5970,3046,J1,J1 2015,J1 2015 2,0,16,JR,362,52,0,0,0,0,0,0
5/7/2015,2015,127,5971,3047,J1,J1 2015,J1 2015 3,0,1,JR,366,62,0,85,0,0,0,0
5/1/2007,2007,121,3043,121,J10,J10 2007,J10 2007 1,0,2,JR,502,75,0,0,0,0,0,0
5/7/2007,2007,127,3049,127,J10,J10 2007,J10 2007 2,0,2,JR,607,58,4,0,0,0,0,0
5/11/2007,2007,131,3053,131,J10,J10 2007,J10 2007 3,0,2,JR,462,60,0,0,0,0,0,0
4/21/2008,2008,112,3399,477,J10,J10 2008,J10 2008 1,0,9,JR,500,60,1,70,0,0,0,0
4/23/2008,2008,114,3401,479,J10,J10 2008,J10 2008 2,0,9,JR,580,70,5,95,0,0,0,0
4/29/2008,2008,120,3407,485,J10,J10 2008,J10 2008 3,0,9,JR,470,50,3,5,0,0,0,0
4/28/2009,2009,118,3771,848,J10,J10 2009,J10 2009 1,0,8,JR,463,63,2,0,0,0,0,0
4/30/2009,2009,120,3773,850,J10,J10 2009,J10 2009 2,0,8,JR,539,62,0,100,0,0,0,0
5/6/2009,2009,126,3779,856,J10,J10 2009,J10 2009 3,0,8,JR,528,70,3,90,0,0,0,0
5/1/2007,2007,121,3043,121,J11,J11 2007,J11 2007 1,0,2,JR,519,75,5,0,0,0,0,0
5/7/2007,2007,127,3049,127,J11,J11 2007,J11 2007 2,0,2,JR,585,58,6,0,0,0,0,0
5/11/2007,2007,131,3053,131,J11,J11 2007,J11 2007 3,0,2,JR,483,65,0,0,0,0,0,0
4/21/2008,2008,112,3399,477,J11,J11 2008,J11 2008 1,0,9,JR,550,60,3,75,0,1,1,1
4/23/2008,2008,114,3401,479,J11,J11 2008,J11 2008 2,0,9,JR,565,70,3,95,0,0,0,0
4/29/2008,2008,120,3407,485,J11,J11 2008,J11 2008 3,0,9,JR,515,50,5,5,0,0,0,0
4/28/2009,2009,118,3771,848,J11,J11 2009,J11 2009 1,0,8,JR,498,65,2,0,0,0,0,0
4/30/2009,2009,120,3773,850,J11,J11 2009,J11 2009 2,0,8,JR,513,61,3,100,0,0,0,0
5/6/2009,2009,126,3779,856,J11,J11 2009,J11 2009 3,0,8,JR,493,68,3,90,0,0,0,0
5/1/2007,2007,121,3043,121,J12,J12 2007,J12 2007 1,0,2,JR,531,75,0,0,1,2,2,1
5/7/2007,2007,127,3049,127,J12,J12 2007,J12 2007 2,0,2,JR,572,58,4,0,0,0,0,0
5/11/2007,2007,131,3053,131,J12,J12 2007,J12 2007 3,0,2,JR,494,65,0,0,0,0,0,0
4/21/2008,2008,112,3399,477,J12,J12 2008,J12 2008 1,0,9,JR,535,60,1,70,1,1,1,1
4/23/2008,2008,114,3401,479,J12,J12 2008,J12 2008 2,0,9,JR,555,70,2,95,0,0,0,0
4/29/2008,2008,120,3407,485,J12,J12 2008,J12 2008 3,0,9,JR,505,50,5,5,0,0,0,0
4/28/2009,2009,118,3771,848,J12,J12 2009,J12 2009 1,0,8,JR,507,66,2,0,0,0,0,0
4/30/2009,2009,120,3773,850,J12,J12 2009,J12 2009 2,0,8,JR,503,61,3,100,0,0,0,0
5/6/2009,2009,126,3779,856,J12,J12 2009,J12 2009 3,0,8,JR,483,67,0,90,0,0,0,0
4/25/2011,2011,115,4498,1575,J12,J12 2011,J12 2011 1,0,11,JR,415,68,0,100,0,0,0,0
4/27/2011,2011,117,4500,1577,J12,J12 2011,J12 2011 2,0,16,JR,486,73,5,100,0,0,0,0
5/2/2011,2011,122,4505,1582,J12,J12 2011,J12 2011 3,0,4,JR,565,73,3,25,0,0,0,0
4/30/2012,2012,121,4869,1946,J12,J12 2012,J12 2012 1,0,4,JR,426,65,5,100,1,1,1,1
5/1/2012,2012,122,4870,1947,J12,J12 2012,J12 2012 2,0,11,JR,408,69,2.5,69,1,2,2,1
5/2/2012,2012,123,4871,1948,J12,J12 2012,J12 2012 3,0,6,JR,554,69,6,20,2,1,0,0
4/23/2013,2013,113,5227,2303,J12,J12 2013,J12 2013 1,0,10,JR,442,50,5,100,0,0,0,0
4/25/2013,2013,115,5229,2305,J12,J12 2013,J12 2013 2,0,11,JR,421,58,1,77,0,0,0,0
5/3/2013,2013,123,5237,2313,J12,J12 2013,J12 2013 3,0,16,JR,429,58,10,100,0,0,0,0
4/24/2014,2014,114,5593,2669,J12,J12 2014,J12 2014 1,0,13,JR,433,47,0,0,0,0,0,0
4/25/2014,2014,115,5594,2670,J12,J12 2014,J12 2014 2,0,12,JR,590,70,5,0,0,0,0,0
5/2/2014,2014,122,5601,2677,J12,J12 2014,J12 2014 3,0,16,JR,423,55,0,20,0,0,0,0
5/5/2015,2015,125,5969,3045,J12,J12 2015,J12 2015 1,0,5,JR,645,74,1,1,0,0,0,0
5/6/2015,2015,126,5970,3046,J12,J12 2015,J12 2015 2,0,16,JR,423,55,0,0,0,0,0,0
5/7/2015,2015,127,5971,3047,J12,J12 2015,J12 2015 3,0,1,JR,412,65,0,85,0,0,0,0
5/1/2007,2007,121,3043,121,J13,J13 2007,J13 2007 1,0,2,JR,553,75,3,0,0,1,1,1
5/7/2007,2007,127,3049,127,J13,J13 2007,J13 2007 2,0,2,JR,558,58,4,0,0,0,0,0
5/11/2007,2007,131,3053,131,J13,J13 2007,J13 2007 3,0,2,JR,505,65,0,0,0,0,0,0
4/21/2008,2008,112,3399,477,J13,J13 2008,J13 2008 1,0,9,JR,520,60,1,70,0,0,0,0
4/23/2008,2008,114,3401,479,J13,J13 2008,J13 2008 2,0,9,JR,545,70,5,90,0,0,0,0
4/29/2008,2008,120,3407,485,J13,J13 2008,J13 2008 3,0,9,JR,495,50,3,5,0,0,0,0
4/28/2009,2009,118,3771,848,J13,J13 2009,J13 2009 1,0,8,JR,519,68,2,0,1,1,1,1
4/30/2009,2009,120,3773,850,J13,J13 2009,J13 2009 2,0,8,JR,494,60,3,100,0,1,1,1
5/6/2009,2009,126,3779,856,J13,J13 2009,J13 2009 3,0,8,JR,476,65,0,90,0,0,0,0
5/1/2007,2007,121,3043,121,J14,J14 2007,J14 2007 1,0,2,JR,565,75,5,0,2,2,2,1
5/7/2007,2007,127,3049,127,J14,J14 2007,J14 2007 2,0,2,JR,545,58,3,0,0,1,1,1
5/11/2007,2007,131,3053,131,J14,J14 2007,J14 2007 3,0,2,JR,519,65,0,0,1,0,1,1
4/21/2008,2008,112,3399,477,J14,J14 2008,J14 2008 1,0,9,JR,565,60,3,75,0,0,0,0
4/23/2008,2008,114,3401,479,J14,J14 2008,J14 2008 2,0,9,JR,535,70,5,90,1,1,1,1
4/29/2008,2008,120,3407,485,J14,J14 2008,J14 2008 3,0,9,JR,540,55,5,3,0,0,0,0
4/28/2009,2009,118,3771,848,J14,J14 2009,J14 2009 1,0,8,JR,536,68,2,0,0,0,0,0
4/30/2009,2009,120,3773,850,J14,J14 2009,J14 2009 2,0,8,JR,483,60,3,100,0,0,0,0
5/6/2009,2009,126,3779,856,J14,J14 2009,J14 2009 3,0,8,JR,462,65,3,90,0,0,0,0
5/1/2007,2007,121,3043,121,J15,J15 2007,J15 2007 1,0,2,JR,575,75,5,0,1,1,1,1
5/7/2007,2007,127,3049,127,J15,J15 2007,J15 2007 2,0,2,JR,529,58,2,0,0,0,0,0
5/11/2007,2007,131,3053,131,J15,J15 2007,J15 2007 3,0,2,JR,536,65,2,0,0,0,0,0
4/21/2008,2008,112,3399,477,J15,J15 2008,J15 2008 1,0,9,JR,575,60,3,80,0,0,0,0
4/23/2008,2008,114,3401,479,J15,J15 2008,J15 2008 2,0,9,JR,520,65,2,90,0,0,0,0
4/29/2008,2008,120,3407,485,J15,J15 2008,J15 2008 3,0,9,JR,530,55,5,3,0,0,0,0
4/28/2009,2009,118,3771,848,J15,J15 2009,J15 2009 1,0,8,JR,550,69,3,0,0,0,0,0
4/30/2009,2009,120,3773,850,J15,J15 2009,J15 2009 2,0,8,JR,472,60,0,100,0,0,0,0
5/6/2009,2009,126,3779,856,J15,J15 2009,J15 2009 3,0,8,JR,451,64,0,90,0,0,0,0
5/1/2007,2007,121,3043,121,J16,J16 2007,J16 2007 1,0,2,JR,585,75,5,0,0,0,0,0
5/7/2007,2007,127,3049,127,J16,J16 2007,J16 2007 2,0,2,JR,499,58,3,0,0,0,0,0
5/11/2007,2007,131,3053,131,J16,J16 2007,J16 2007 3,0,2,JR,552,70,3,0,0,0,0,0
4/21/2008,2008,112,3399,477,J16,J16 2008,J16 2008 1,0,9,JR,595,65,5,85,0,0,0,0
4/23/2008,2008,114,3401,479,J16,J16 2008,J16 2008 2,0,9,JR,495,65,3,90,1,1,1,1
4/29/2008,2008,120,3407,485,J16,J16 2008,J16 2008 3,0,9,JR,565,55,5,3,0,0,0,0
4/28/2009,2009,118,3771,848,J16,J16 2009,J16 2009 1,0,8,JR,565,70,2,0,0,0,0,0
4/30/2009,2009,120,3773,850,J16,J16 2009,J16 2009 2,0,8,JR,457,59,0,100,0,0,0,0
5/6/2009,2009,126,3779,856,J16,J16 2009,J16 2009 3,0,8,JR,434,63,3,70,0,0,0,0
4/25/2011,2011,115,4498,1575,J16,J16 2011,J16 2011 1,0,11,JR,427,70,2,100,0,0,0,0
4/27/2011,2011,117,4500,1577,J16,J16 2011,J16 2011 2,0,16,JR,502,73,5,100,0,0,0,0
5/2/2011,2011,122,4505,1582,J16,J16 2011,J16 2011 3,0,4,JR,554,73,1,15,0,0,0,0
4/30/2012,2012,121,4869,1946,J16,J16 2012,J16 2012 1,0,4,JR,445,65,1,100,1,1,1,1
5/1/2012,2012,122,4870,1947,J16,J16 2012,J16 2012 2,0,11,JR,424,69,1.5,69,0,0,0,0
5/2/2012,2012,123,4871,1948,J16,J16 2012,J16 2012 3,0,6,JR,517,68,8,35,1,0,1,1
