Name Year Run,TotalBACS
A1 2006 1,0
A1 2006 2,0
A1 2006 3,0
A1 2006 4,0
A1 2006 5,0
A10 2006 1,0
A10 2006 2,0
A10 2006 3,0
A10 2006 4,0
A10 2006 5,0
A11 2006 1,0
A11 2006 2,0
A11 2006 3,0
A11 2006 4,0
A11 2006 5,0
A14 2006 1,0
A14 2006 2,0
A14 2006 3,0
A14 2006 4,0
A14 2006 5,0
A15 2006 1,0
A15 2006 2,0
A15 2006 3,1
A15 2006 4,1
A15 2006 5,1
A16 2006 1,0
A16 2006 2,1
A16 2006 3,0
A16 2006 4,0
A16 2006 5,0
A18 2006 1,0
A18 2006 2,0
A18 2006 3,0
A18 2006 4,0
A18 2006 5,0
A20 2006 1,1
A20 2006 2,0
A20 2006 3,0
A20 2006 4,0
A20 2006 5,0
A21 2006 1,0
A21 2006 2,0
A21 2006 3,1
A21 2006 4,0
A21 2006 5,1
A22 2006 1,0
A22 2006 2,0
A22 2006 3,0
A22 2006 4,0
A22 2006 5,0
A23 2006 1,0
A23 2006 2,0
A23 2006 3,0
A23 2006 4,0
A23 2006 5,0
A27 2006 1,1
A27 2006 2,0
A27 2006 3,0
A27 2006 4,0
A27 2006 5,0
A28 2006 1,0
A4 2006 1,0
A4 2006 2,0
A4 2006 3,1
A4 2006 4,0
A4 2006 5,0
A5 2006 1,0
A5 2006 2,0
A5 2006 3,1
A5 2006 4,1
A5 2006 5,1
A8 2006 1,0
A8 2006 2,1
A8 2006 3,1
A8 2006 4,0
A8 2006 5,0
B1 2006 1,0
B1 2006 2,0
B1 2006 3,0
B1 2006 4,0
B1 2006 5,0
B11 2006 1,2
B11 2006 2,1
B11 2006 3,0
B11 2006 4,1
B11 2006 5,0
B15 2006 1,1
B15 2006 2,0
B15 2006 3,0
B15 2006 4,0
B15 2006 5,1
B17 2006 1,0
B17 2006 2,1
B17 2006 3,1
B17 2006 4,1
B17 2006 5,0
B19 2006 1,0
B19 2006 2,0
B19 2006 3,1
B19 2006 4,0
B19 2006 5,0
B2 2006 1,0
B2 2006 2,0
B2 2006 3,1
B2 2006 4,0
B2 2006 5,0
B21 2006 1,0
B21 2006 2,0
B21 2006 3,1
B21 2006 4,1
B21 2006 5,0
B22 2006 1,0
B22 2006 2,0
B22 2006 3,0
B22 2006 4,0
B22 2006 5,0
B23 2006 1,1
B23 2006 2,0
B23 2006 3,0
B23 2006 4,0
B23 2006 5,0
B26 2006 1,1
B26 2006 2,1
B26 2006 3,0
B26 2006 4,0
B26 2006 5,0
B3 2006 1,0
B3 2006 2,0
B3 2006 3,0
B3 2006 4,0
B3 2006 5,0
B4 2006 1,0
B4 2006 2,0
B4 2006 3,0
B4 2006 4,0
B4 2006 5,0
B5 2006 1,0
B5 2006 2,0
B5 2006 3,0
B5 2006 4,0
B5 2006 5,0
B6 2006 1,0
B6 2006 2,0
B6 2006 3,0
B6 2006 4,0
B6 2006 5,0
B7 2006 1,0
B7 2006 2,0
B7 2006 3,0
B7 2006 4,0
B7 2006 5,0
B8 2006 1,0
B8 2006 2,0
B8 2006 3,0
B8 2006 4,0
B8 2006 5,0
B9 2006 1,0
B9 2006 2,0
B9 2006 3,0
B9 2006 4,0
B9 2006 5,0
C1 2006 1,0
C1 2006 2,0
C1 2006 3,0
C1 2006 4,0
C1 2006 5,0
C11 2006 1,0
C11 2006 2,0
C11 2006 3,0
C11 2006 4,0
C11 2006 5,0
C12 2006 1,0
C12 2006 2,1
C12 2006 3,0
C12 2006 4,0
C12 2006 5,0
C16 2006 1,0
