PointName,Date,TotalBACS,AREA,Route ,Time,Temp,Wind ,Cloud
J1,5/5/2015,1,CURE,JR,7:34,56,1,0
J1,5/6/2015,0,CURE,JR,6:02,52,0,0
J1,5/7/2015,0,CURE,JR,6:06,62,0,85
J12,5/5/2015,0,CURE,JR,10:45,74,1,1
J12,5/6/2015,0,CURE,JR,7:03,55,0,0
J12,5/7/2015,0,CURE,JR,6:52,65,0,85
J16,5/5/2015,0,CURE,JR,10:30,73,4,1
J16,5/6/2015,1,CURE,JR,7:19,55,0,0
J16,5/7/2015,1,CURE,JR,7:05,65,0,85
J18,5/6/2015,0,CURE,JR,10:56,80,0,75
J18,5/6/2015,0,CURE,JR,7:42,57,0,0
J18,5/7/2015,1,CURE,JR,7:16,65,0,90
J21,5/6/2015,0,CURE,JR,10:38,80,0,50
J21,5/6/2015,0,CURE,JR,8:35,57,0,0
J21,5/7/2015,0,CURE,JR,7:36,65,0,80
J23,5/5/2015,0,CURE,JR,8:04,56,1,0
J23,5/6/2015,0,CURE,JR,8:14,57,0,0
J23,5/7/2015,0,CURE,JR,7:55,65,0,75
J3,5/5/2015,1,CURE,JR,7:27,56,1,0
J3,5/6/2015,0,CURE,JR,6:12,52,0,0
J3,5/7/2015,0,CURE,JR,5:56,60,5,75
J7,5/5/2015,0,CURE,JR,7:15,56,1,0
J7,5/6/2015,0,CURE,JR,6:21,52,0,0
J7,5/7/2015,0,CURE,JR,5:45,60,0,75
J9,5/5/2015,0,CURE,JR,11:05,75,4,5
J9,5/6/2015,0,CURE,JR,6:41,55,0,0
J9,5/7/2015,0,CURE,JR,6:35,62,0,80
K10,5/5/2015,0,CURE,LK,6:58,58,0,0
K10,5/8/2015,0,CURE,LK,8:36,64,4,0
K12,5/5/2015,0,CURE,LK,6:45,55,0,5
K12,5/8/2015,0,CURE,LK,8:53,64,1,2
K15,5/5/2015,1,CURE,LK,6:15,55,0,0
K15,5/8/2015,0,CURE,LK,9:12,70,4,2
K17,5/5/2015,0,CURE,LK,6:03,55,0,0
K17,5/8/2015,0,CURE,LK,9:36,70,4,2
