spec.name	coordx	coordy	ele	route	forest	det061	det062	det063	det071	det072	det073	date061	date062	date063	date071	date072	date073	dur061	dur062	dur063	dur071	dur072	dur073
Crossbill	497	118	450	6.2	3	0	0	0	0	0	0	19	56	65	20	46	54	300	300	300	230	300	280
Crossbill	503	134	450	5.5	21	0	0	0	0	0	0	15	28	55	19	50	56	180	170	170	180	180	180
Crossbill	503	158	1050	4.3	32	0	0	1	0	1	0	23	62	90	22	55	61	180	190	165	175	195	175
Crossbill	509	150	950	4.5	9	0	0	1	0	1	1	22	57	78	22	49	70	240	240	240	300	255	240
Crossbill	509	166	1150	5.4	35	0	0	0	1	1	1	23	42	70	15	43	60	190	180	210	180	215	210
Crossbill	521	150	550	3.6	2	0	0	0	0	0	0	29	40	52	21	40	49	220	200	210	200	200	195
Crossbill	521	166	750	3.9	6	0	0	0	0	0	0	29	52	65	21	53	64	150	135	180	150	210	135
Crossbill	527	174	650	6.1	60	1	1	1	0	1	1	24	54	69	37	50	65	200	180	195	210	210	190
Crossbill	533	166	550	5.1	5	0	0	0	0	0	0	23	44	66	29	43	57	240	210	230	205	255	180
Crossbill	533	182	550	3.9	13	0	0	1	0	0	0	21	40	68	20	40	60	150	180	200	180	185	195
Crossbill	533	198	1150	3.8	50	0	0	0	1	1	1	33	58	75	14	40	52	250	220	235	230	220	195
Crossbill	539	158	750	7.7	57	1	0	0	1	1	0	20	58	81	21	57	70	210	240	240	240	225	240
Crossbill	539	190	1250	1.9	84	0	0	0	0	1	1	40	55	83	49	65	84	180	180	195	170	165	167
Crossbill	545	150	750	7.9	15	0	0	0	0	0	0	22	55	73	18	52	64	300	270	240	300	280	255
Crossbill	545	182	450	4.4	17	1	0	0	0	0	0	15	52	72	15	43	62	225	210	195	230	210	210
Crossbill	545	214	1050	6	58	0	0	0	0	0	0	29	48	71	16	43	56	140	120	140	135	160	145
Crossbill	551	174	750	6.2	26	1	0	0	0	0	1	26	67	87	26	49	69	190	210	180	230	230	220
Crossbill	551	206	1250	6.1	32	0	0	0	0	1	1	34	58	73	36	66	79	270	285	285	255	340	285
Crossbill	557	118	1250	4.5	66	0	0	0	1	1	1	27	47	75	24	53	72	225	255	255	255	255	240
Crossbill	557	134	350	6.2	45	0	0	0	0	0	0	16	43	58	22	49	61	165	185	195	180	195	210
Crossbill	557	150	750	4.1	44	0	1	0	0	0	0	17	29	50	19	26	54	240	315	235	240	240	240
Crossbill	557	166	750	4.5	9	1	1	0	0	0	0	33	68	85	18	46	77	170	190	165	220	190	180
Crossbill	557	182	550	6.9	31	1	0	1	0	0	0	29	51	74	22	50	70	235	240	255	250	245	200
Crossbill	563	126	350	4.7	8	0	0	0	0	0	0	30	44	65	15	36	65	125	125	125	135	135	125
Crossbill	563	142	1350	3.7	78	0	0	0	0	0	1	43	72	90	40	68	80	240	210	240	275	260	255
Crossbill	563	206	550	5.7	37	0	0	0	0	0	0	15	45	69	14	28	54	195	150	210	180	195	240
Crossbill	563	222	1150	4	18	0	1	1	1	1	1	41	65	76	26	52	66	185	165	190	170	175	185
Crossbill	569	118	1450	6.6	54	1	1	1	1	1	1	33	65	77	27	55	74	270	255	225	240	255	270
Crossbill	569	166	950	4.3	6	0	0	1	1	0	0	24	50	77	14	39	64	135	130	125	190	160	170
Crossbill	569	182	650	4.7	3	0	0	0	0	0	0	25	46	67	17	33	54	255	255	245	248	259	245
Crossbill	569	198	550	4.2	27	0	0	0	0	0	0	18	26	42	18	33	50	165	150	180	180	215	210
Crossbill	569	246	850	5.3	56	0	0	0	1	0	0	29	57	71	25	51	65	285	270	270	240	260	255
Crossbill	575	94	1250	5.6	66	1	0	0	0	0	1	25	47	83	25	39	82	320	220	230	220	230	195
Crossbill	575	110	450	6.7	5	0	0	0	0	0	0	19	34	66	18	38	56	210	255	255	240	240	255
Crossbill	575	142	1250	4	51	0	1	0	1	1	1	26	46	74	25	52	71	220	255	255	240	225	210
Crossbill	575	158	1150	5.1	43	0	0	1	1	1	0	26	47	81	13	50	68	255	270	270	285	295	200
Crossbill	575	174	750	6.5	40	0	0	1	0	0	0	32	41	66	15	31	51	325	365	405	363	352	386
Crossbill	575	190	550	5.2	5	0	0	0	0	0	0	19	46	70	18	57	72	90	90	105	85	105	90
Crossbill	575	206	450	5.5	3	0	0	0	0	0	0	22	47	50	15	43	53	NA	NA	NA	140	145	135
Crossbill	575	222	1250	5.6	52	0	0	1	1	1	1	47	58	71	26	49	65	190	180	195	205	255	195
