J1,J12,J16,J18,J21,J23,J3,J7,J9,K10,K12,K15,K17,K18,K2,K22,K6,K7,K9,L12,L14,L16,L18,L21,L23,L24,L6,L9,M1,M10,M12,M14,M16,M20,M22,M25,M3,M5,M7,N11,N12,N14,N17,N2,N20,N23,N26,N4,N6,N9,P1,P13,P16,P17,P21,P22,P26,P3,P9,Q11,Q12,Q15,Q19,Q2,Q23,Q4,Q5,Q7,R1,R12,R14,R16,R18,R20,R25,R3,R5,R6,R8
1921,41,41,428,517,517,1113,2206,431,756,756,852,428,428,,13,,763,763,791,4793,4093,2962,4463,791,4463,2603,,518,39,39,39,39,76,76,39,518,1497,509,509,882,509,508,1497,508,39,886,781,509,881,496,509,886,886,886,1238,1238,496,508,882,43,509,887,3693,1170,1170,1238,882,517,1104,883,883,1114,881,881,851,783,783,851
4801,882,882,1251,1842,1842,2994,5570,2617,1901,1876,1166,1446,1446,,511,,1876,1876,2273,5579,5880,3721,5181,1876,5181,3364,,1251,875,875,1188,1188,511,511,756,1251,2952,1988,1847,1581,1237,1237,2952,1237,1188,1431,2212,1988,2931,1236,1237,2224,2224,2224,1981,1981,1236,1237,1581,1239,1847,2933,4816,1861,1861,1981,1581,1475,1985,1566,1566,2643,2254,2254,1166,1639,1639,1166
,2363,1951,1988,2616,2616,4128,,3394,3066,3066,1890,2219,2219,,1156,,2709,2709,3350,,,4540,,3325,,4837,,1980,1580,1580,1951,1951,1236,1236,1639,1980,4068,2688,2689,2331,1974,1944,4068,1944,1951,3455,2968,2688,3752,1967,1974,3065,3065,3065,2693,2693,1967,1944,2331,3318,2689,3722,5928,2737,2737,2693,2331,2951,2678,2258,2258,3365,3037,3037,1945,2615,2615,1945
,3000,3000,2625,2996,2996,4823,,4096,3723,3723,2672,2980,2980,,2273,,3389,3389,4486,,,5214,,4095,,,,2678,2671,2338,2671,2671,1946,1946,2356,2678,5039,3455,3423,3057,2693,3718,5039,3718,2671,4083,3731,3455,4528,2692,2693,3786,3786,3786,3456,3456,2692,3718,3057,4154,3423,4779,,3693,3693,3456,3057,3765,3360,3697,3697,4127,3794,3794,2645,3357,3326,2645
,3772,3724,3357,3731,3731,,,4841,4463,4463,3360,3509,3509,,2980,,3723,3723,5919,,,,,5181,,,,3435,3052,3438,3438,3438,2671,2671,3053,3435,5404,4219,4274,3793,3449,4467,5404,4467,3438,4902,4752,4219,5654,3436,3449,4550,4550,4550,4550,4550,3436,4467,3793,4900,4274,5912,,4513,4513,4154,3793,4498,4103,4505,4505,4871,4505,4505,3359,4152,4152,3359
,4464,4464,4177,4492,4492,,,5919,5181,5181,4193,4463,4463,,3723,,4463,4463,,,,,,,,,,4178,3826,4128,4215,4215,3436,3436,3828,4178,5881,4902,5277,4620,4186,5287,5881,5287,4215,5970,,4902,,4069,4186,4945,4945,4945,4945,4945,4069,5287,4620,5633,5277,,,5619,5619,4550,4620,5580,4871,5390,5390,5389,5286,5286,4152,4836,4836,4152
,5187,5187,4823,5187,5187,,,,,,4836,5940,5940,,4468,,5181,5181,,,,,,,,,,4929,4528,4919,4919,4919,4191,4191,4523,4929,,5970,5993,5619,4900,6013,,6013,4919,,,5970,,4916,4900,5633,5633,5633,5633,5633,4916,6013,5619,,5993,,,,,5633,5619,,5579,5597,5597,5597,5597,5597,4836,5580,5580,4836
,5919,,5572,,,,,,,,5940,,,,5214,,,,,,,,,,,,,5605,4919,5607,5607,5607,4916,4916,5265,5605,,,,,,,,,5607,,,,,5606,,,,,,,5606,,,,,,,,,,,,,,,,,,5580,,,5580
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5607,,,,5606,5606,6018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6019,6019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
