J1,J12,J16,J18,J21,J23,J3,J7,J9,K10,K12,K15,K17,K18,K2,K22,K6,K7,K9,L12,L14,L16,L18,L21,L23,L24,L6,L9,M1,M10,M12,M14,M16,M20,M22,M25,M3,M5,M7,N11,N12,N14,N17,N2,N20,N23,N26,N4,N6,N9,P1,P13,P16,P17,P21,P22,P26,P3,P9,Q11,Q12,Q15,Q19,Q2,Q23,Q4,Q5,Q7,R1,R12,R14,R16,R18,R20,R25,R3,R5,R6,R8
1122,42,42,417,46,46,48,836,425,1141,1166,371,62,62,NA,62,NA,333,333,769,NA,NA,81,NA,1166,NA,439,NA,364,371,704,371,371,372,371,686,364,90,354,353,711,349,1098,90,1099,371,1612,75,355,112,351,350,819,819,819,350,350,351,1099,712,1804,354,110,NA,306,306,350,712,92,365,785,785,400,6,6,398,428,428,398
1128,44,44,419,48,48,50,838,427,1143,1168,377,64,64,NA,64,NA,335,335,771,NA,NA,87,NA,1168,NA,441,NA,366,373,706,373,373,378,373,688,366,92,356,355,713,351,1100,92,1105,373,1618,81,361,118,357,356,825,825,825,356,356,357,1105,718,1810,360,116,NA,312,312,356,718,98,371,791,791,406,12,12,404,434,434,404
1132,52,52,427,56,56,58,846,435,1151,1176,381,72,72,NA,72,NA,343,343,779,NA,NA,91,NA,1176,NA,449,NA,374,0,714,381,381,382,381,696,374,100,364,363,721,359,1108,100,1109,381,1622,85,365,122,361,360,829,829,829,360,360,361,1109,722,1814,364,120,NA,316,316,360,722,102,375,795,795,410,16,16,408,438,438,408
1478,400,400,43,404,404,406,1194,6,334,334,39,420,420,NA,420,NA,11,11,50,NA,NA,437,NA,75,NA,36,NA,722,348,1062,729,729,728,729,347,722,448,712,713,345,709,1456,448,1455,729,1968,431,711,468,707,706,334,334,334,706,708,709,1455,344,83,712,468,NA,664,662,706,342,448,39,1141,1141,34,362,362,40,42,73,40
1480,404,404,47,408,408,410,1198,10,338,338,41,422,422,NA,422,NA,13,13,52,NA,NA,439,NA,77,NA,38,NA,724,350,1064,731,731,730,731,349,724,450,714,719,351,715,1458,450,1457,731,1970,433,713,470,709,708,336,336,336,708,714,715,1457,350,89,718,474,NA,670,664,708,344,450,41,1143,1149,36,364,364,42,44,75,42
1486,408,408,51,412,412,414,1202,14,342,342,47,428,428,NA,428,NA,19,19,58,NA,NA,445,NA,83,NA,44,NA,730,356,1070,737,737,736,737,355,730,456,720,720,352,716,1464,456,1463,737,1976,439,719,476,715,714,342,342,342,714,720,721,1469,356,95,724,480,NA,676,670,714,350,456,47,1149,73,42,370,370,48,50,81,48
1850,770,46,413,39,39,776,1564,376,47,47,411,262,262,NA,48,NA,48,48,421,NA,NA,50,NA,446,NA,407,NA,336,719,333,333,333,335,335,718,338,819,316,348,714,322,53,819,53,333,315,39,315,18,677,321,705,705,705,315,314,334,52,713,452,347,48,77,77,77,315,713,5,410,73,75,405,733,733,411,413,445,412
1852,0,48,415,41,41,778,1566,378,49,49,413,264,264,NA,56,NA,50,50,423,NA,NA,52,NA,448,NA,409,NA,338,721,340,335,335,337,337,720,344,821,318,350,716,324,55,821,55,335,317,41,317,20,678,323,707,707,707,317,316,336,54,715,454,349,50,79,79,79,317,715,7,412,75,77,407,735,735,413,415,447,414
1858,2,50,417,43,43,780,1568,380,51,51,419,270,270,NA,411,NA,56,56,429,NA,NA,58,NA,454,NA,415,NA,344,727,371,340,341,343,343,726,695,827,324,356,721,329,61,827,61,341,319,43,319,22,681,325,709,709,709,323,318,338,56,717,456,351,52,81,81,81,323,717,9,414,77,801,409,737,737,415,417,453,420
2577,364,412,778,404,404,7,1929,39,413,412,305,625,625,NA,413,NA,411,407,780,NA,41,777,36,404,36,1135,NA,321,673,372,284,284,307,694,302,706,73,675,707,337,681,412,62,31,692,416,767,279,746,363,312,712,712,712,1042,679,66,417,342,817,712,413,442,442,805,344,705,0,395,801,803,371,704,704,346,346,346,346
2579,365,413,780,406,406,9,1931,41,414,414,307,627,627,NA,418,NA,413,413,786,NA,43,779,37,405,37,1136,NA,322,674,377,285,285,309,705,313,707,74,686,718,348,692,423,73,33,703,417,769,281,748,366,314,714,714,714,1044,681,68,419,344,819,714,415,444,444,807,346,707,2,397,803,0,373,706,706,348,348,348,348
2584,371,419,786,412,412,15,1937,47,420,420,312,632,632,NA,31,NA,418,418,791,NA,48,784,42,410,42,1141,NA,327,679,741,290,290,314,706,314,320,430,687,719,349,693,424,74,38,704,422,775,287,754,NA,320,720,720,720,1049,687,74,425,350,825,720,421,450,450,812,351,712,7,402,0,364,743,0,0,353,353,353,353
68,35,35,322,7,7,371,2296,403,36,36,33,36,36,NA,37,NA,36,36,13,NA,406,329,406,774,406,32,NA,691,341,742,654,654,678,308,670,322,432,280,225,706,313,32,431,402,284,786,117,650,341,NA,683,319,319,319,319,1042,429,31,705,344,224,776,805,805,356,319,249,371,766,364,365,0,364,364,33,33,33,33
69,41,41,328,13,13,377,2299,409,42,42,34,42,42,NA,38,NA,42,42,19,NA,412,330,407,775,407,33,NA,692,342,743,655,655,679,309,672,328,438,281,226,707,314,33,432,403,285,787,118,651,342,NA,684,320,320,320,320,1050,431,33,707,346,226,778,807,813,357,320,250,372,767,365,366,356,365,365,34,34,34,34
70,42,42,329,14,14,378,2300,410,43,43,35,43,43,NA,401,NA,43,43,20,NA,413,331,408,776,408,34,NA,693,343,308,656,656,680,314,678,691,801,286,231,712,319,38,437,404,290,788,119,652,343,NA,685,321,321,321,321,319,437,39,713,352,232,784,813,356,358,321,251,373,0,366,722,366,366,366,35,35,35,35
426,405,405,46,377,377,46,2663,28,406,406,391,406,408,NA,403,NA,406,406,385,76,776,13,46,46,46,390,NA,298,312,312,308,308,311,678,346,692,802,650,595,249,683,402,801,760,654,325,475,325,699,NA,327,282,282,282,282,320,800,402,249,715,595,90,53,357,714,677,607,729,356,722,724,205,722,722,391,391,391,391
428,407,407,48,379,379,48,2665,30,408,408,393,408,409,NA,404,NA,408,408,386,78,778,15,48,48,48,392,NA,300,315,315,312,310,313,679,347,693,803,651,596,250,684,403,802,762,655,327,477,327,701,NA,329,284,284,284,284,321,801,403,250,717,596,91,54,358,716,679,609,731,358,724,732,4,724,724,393,393,393,393
436,408,408,49,380,380,49,2666,31,409,409,401,409,764,NA,13,NA,409,409,741,79,779,23,53,53,53,397,NA,305,318,674,315,315,321,680,348,298,188,652,597,251,685,404,803,770,656,332,483,333,707,NA,335,290,290,290,292,282,802,404,251,327,597,92,55,714,724,687,617,739,366,732,203,372,732,732,401,401,401,401
792,40,40,404,40,40,404,3021,386,46,46,757,764,766,NA,15,NA,46,46,743,434,1134,379,412,412,412,756,NA,664,674,675,674,674,677,311,704,306,190,325,953,607,327,760,188,306,308,691,841,691,1065,NA,693,648,648,648,648,290,311,760,607,329,953,448,411,722,1080,1043,973,13,14,203,204,373,307,307,13,13,13,13
793,42,42,406,42,42,406,3023,388,48,48,758,766,772,NA,23,NA,48,48,749,436,1136,380,413,413,413,757,NA,665,675,678,675,675,685,313,706,308,196,327,955,609,329,762,190,307,310,692,842,692,1066,NA,694,649,649,649,649,292,319,768,609,335,955,450,413,724,1081,1044,974,14,15,204,4,374,308,4,14,14,14,14
793,48,48,414,50,48,412,3031,394,54,54,765,772,1130,NA,379,NA,54,54,1107,442,1142,387,416,416,416,760,NA,668,678,363,678,678,364,318,712,664,189,332,960,614,334,767,195,314,315,NA,845,695,1069,NA,697,652,652,652,656,648,321,770,615,693,961,456,419,1080,1088,1051,981,21,22,4,372,NA,4,372,21,21,21,21
800,406,406,21,406,406,770,23,752,412,412,29,1130,1131,NA,380,NA,412,412,1108,14,1500,755,789,789,789,1133,NA,365,363,364,363,363,364,677,328,665,190,691,316,973,693,306,189,683,674,NA,1217,1067,315,NA,1069,336,336,336,336,649,677,306,973,694,316,814,777,1081,350,336,350,389,390,372,373,NA,372,373,389,389,389,389
1168,407,407,22,407,407,771,24,753,413,413,30,1131,1134,NA,383,NA,413,413,1111,15,1501,756,790,790,790,1134,NA,366,364,NA,364,364,365,678,329,668,193,692,317,974,697,307,190,683,675,NA,1220,2,318,NA,1072,339,339,339,337,652,678,307,974,697,317,815,778,1084,351,337,351,390,391,373,374,NA,373,374,390,390,390,390
1169,410,410,25,410,410,774,27,756,416,416,31,1134,NA,NA,755,NA,416,416,50,18,1504,757,NA,790,NA,NA,NA,366,364,NA,NA,364,NA,681,332,364,88,695,320,351,1070,310,193,684,678,NA,NA,NA,NA,NA,NA,NA,NA,NA,338,336,681,310,977,336,320,818,781,350,352,338,352,391,392,374,NA,NA,374,NA,391,391,391,391
