J1,J12,J16,J18,J21,J23,J3,J7,J9,K10,K12,K15,K17,K18,K2,K22,K6,K7,K9,L12,L14,L16,L18,L21,L23,L24,L6,L9,M1,M10,M12,M14,M16,M20,M22,M25,M3,M5,M7,N11,N12,N14,N17,N2,N20,N23,N26,N4,N6,N9,P1,P13,P16,P17,P21,P22,P26,P3,P9,Q11,Q12,Q15,Q19,Q2,Q23,Q4,Q5,Q7,R1,R12,R14,R16,R18,R20,R25,R3,R5,R6,R8
1122,43,43,418,47,47,49,837,426,1141,1166,370,62,62,9999,62,9999,333,333,769,9999,9999,80,9999,1166,9999,439,9999,364,371,704,371,371,371,371,686,364,90,354,353,711,349,1098,90,1098,371,1611,74,354,111,351,350,819,819,819,350,350,351,1099,712,1804,354,110,9999,306,306,350,712,92,365,785,785,400,6,6,398,428,428,398
1128,49,49,424,53,53,55,843,432,1143,1168,372,64,64,9999,64,9999,335,335,771,9999,9999,82,9999,1168,9999,441,9999,366,373,706,373,373,373,373,688,366,92,356,355,713,351,1100,92,1100,373,1613,76,356,113,357,356,825,825,825,356,356,357,1105,718,1810,360,116,9999,312,312,356,718,98,371,791,791,406,12,12,404,434,434,404
1132,53,53,428,57,57,59,847,436,1151,1176,380,72,72,9999,72,9999,343,343,779,9999,9999,90,9999,1176,9999,449,9999,374,0,714,381,381,381,381,696,374,100,364,363,721,359,1108,100,1108,381,1621,84,364,121,361,360,829,829,829,360,360,361,1109,722,1814,364,120,9999,316,316,360,722,102,375,795,795,410,16,16,408,438,438,408
1478,399,399,42,403,403,405,1193,5,334,334,40,420,420,9999,420,9999,11,11,50,9999,9999,438,9999,75,9999,36,9999,722,348,1062,729,729,731,729,347,722,448,712,711,343,707,1456,448,1458,731,1971,432,712,469,707,706,334,334,334,706,706,707,1455,344,83,710,468,9999,664,664,708,344,448,39,1141,1141,34,362,362,40,42,73,40
1480,401,401,44,405,405,407,1195,7,338,338,44,424,424,9999,424,9999,15,15,52,9999,9999,440,9999,77,9999,38,9999,724,350,1064,731,731,733,731,349,724,450,714,713,345,709,1458,450,1464,737,1977,434,714,471,709,708,336,336,336,708,708,709,1457,350,89,712,474,9999,670,670,714,350,450,41,1143,1143,36,370,364,42,44,75,42
1486,407,407,50,411,411,413,1201,13,342,342,48,428,428,9999,428,9999,19,19,58,9999,9999,446,9999,83,9999,44,9999,730,356,1070,737,737,737,737,355,730,456,720,719,351,715,1464,456,1465,738,1978,440,720,477,715,714,342,342,342,714,714,715,1463,356,95,724,480,9999,676,676,720,356,456,47,1149,1149,42,733,370,48,50,81,48
1850,771,47,414,40,40,777,1565,377,47,47,410,261,261,9999,47,9999,47,47,421,9999,9999,50,9999,446,9999,407,9999,336,719,333,333,333,335,335,718,336,819,316,348,714,324,53,819,53,333,316,40,316,19,334,321,705,705,648,314,314,334,52,713,452,347,48,77,77,77,314,713,5,410,73,73,405,735,733,411,413,444,411
1852,1,49,416,42,42,779,1567,379,49,49,412,263,263,9999,49,9999,49,49,423,9999,9999,58,9999,448,9999,409,9999,338,721,335,335,335,337,337,720,343,821,318,350,716,330,55,821,55,335,318,42,318,21,336,323,707,707,649,316,316,336,54,715,454,349,50,79,79,79,316,715,7,412,75,75,407,737,735,413,415,446,413
1858,7,55,422,48,48,785,1573,385,51,51,414,265,265,9999,51,9999,51,51,429,9999,9999,413,9999,454,9999,415,9999,343,727,341,341,341,343,343,726,321,826,324,356,722,681,61,827,61,340,323,48,324,27,338,325,709,709,652,318,318,338,56,717,456,351,52,81,81,81,318,717,9,414,77,77,409,704,737,415,417,448,415
2577,34,34,321,6,6,370,2292,402,413,413,775,626,626,9999,412,9999,413,412,784,9999,41,415,9999,39,9999,766,9999,321,673,371,284,284,308,308,671,322,431,280,707,337,692,423,62,412,692,47,399,675,378,430,312,712,712,336,1042,1042,429,31,342,817,712,413,442,442,442,679,342,0,395,801,801,371,706,704,346,346,346,346
2579,36,36,323,8,8,372,2294,404,414,414,777,628,628,9999,414,9999,414,414,786,9999,43,420,9999,41,9999,772,9999,322,674,372,285,285,309,309,672,327,432,281,718,348,693,424,73,423,703,58,410,686,389,431,314,714,714,339,1044,1044,431,33,344,819,714,415,444,444,444,681,344,2,397,803,803,373,0,706,348,348,348,348
2584,41,41,328,13,13,377,2299,409,420,420,783,634,634,9999,420,9999,420,420,791,9999,48,778,9999,46,9999,777,9999,327,679,377,290,290,314,314,677,691,437,286,719,349,312,31,74,424,704,59,411,687,390,436,320,720,720,,1050,1050,437,39,350,825,720,421,450,450,450,687,350,7,402,0,0,378,364,365,353,353,353,353
68,405,405,46,377,377,46,2663,28,36,36,306,36,36,9999,34,9999,36,36,13,9999,406,784,36,404,36,1135,9999,691,341,741,654,654,678,678,346,692,801,650,225,705,314,33,431,32,284,416,768,280,747,800,683,319,319,,319,319,800,402,705,344,224,776,805,805,805,344,705,371,766,364,364,742,365,366,33,33,33,33
69,406,406,47,378,378,47,2664,29,42,42,312,42,42,9999,37,9999,42,42,19,9999,412,785,42,410,42,1141,9999,692,342,742,655,655,679,679,347,693,802,651,226,707,320,39,432,33,285,417,769,281,748,801,684,320,320,,320,320,801,403,713,346,226,778,807,807,807,346,713,372,767,365,365,743,366,722,34,34,34,34
70,407,407,48,379,379,48,2665,30,43,43,313,43,43,9999,38,9999,43,43,20,9999,413,329,43,411,43,1142,9999,693,343,743,656,656,680,680,348,298,803,652,231,713,683,402,437,38,290,422,774,286,753,802,685,321,321,,321,321,802,404,249,352,232,784,813,813,813,352,249,373,0,366,366,0,722,732,35,35,35,35
426,40,40,404,40,40,404,3021,386,406,406,33,406,406,9999,401,9999,406,406,383,78,776,331,406,774,406,34,9999,298,308,308,308,308,311,311,708,302,188,325,595,249,684,403,801,402,654,786,117,650,341,311,327,282,282,,282,282,311,760,250,715,595,90,53,356,356,319,250,729,356,722,722,356,724,308,391,391,391,391
428,42,42,406,42,42,406,3023,388,408,408,35,408,408,9999,403,9999,408,408,385,79,778,332,408,776,408,35,9999,302,310,310,310,310,313,313,711,305,192,327,596,250,685,404,802,403,655,787,118,651,342,313,329,284,284,,284,284,313,762,251,716,596,91,55,357,357,320,251,731,358,724,724,358,732,4,393,393,393,393
436,50,50,414,50,50,414,3031,396,409,409,36,409,409,9999,404,9999,409,409,386,434,779,13,409,777,409,390,9999,305,315,315,315,315,318,318,714,664,195,332,597,251,327,760,803,404,656,788,119,652,343,318,335,290,290,,290,290,319,768,607,717,597,92,411,358,358,321,607,739,366,732,732,366,307,372,401,401,401,401
792,406,406,21,406,406,770,23,752,46,46,391,764,764,9999,13,9999,46,46,741,436,1134,15,46,46,46,392,9999,664,674,674,674,674,677,677,328,665,189,691,953,607,335,762,188,760,308,325,475,325,699,677,693,648,648,,648,648,677,306,615,327,953,448,413,714,714,677,615,13,14,203,203,204,308,373,13,13,13,13
793,407,407,29,407,407,771,24,753,48,48,393,766,766,9999,15,9999,48,48,743,442,1136,23,48,48,48,398,9999,665,675,675,675,675,678,678,329,668,190,692,955,609,337,768,190,762,310,327,477,327,701,678,694,649,649,,649,649,678,307,617,335,961,450,419,716,716,679,617,14,15,204,204,205,4,374,14,21,14,14
793,414,414,398,414,414,778,31,760,54,54,401,774,772,9999,23,9999,54,54,749,14,1142,379,54,54,54,756,9999,668,678,678,678,678,681,681,332,365,193,695,960,615,693,306,195,767,315,332,482,332,706,,697,652,652,,652,652,681,310,973,337,963,456,777,722,722,685,973,21,22,4,4,4,372,,21,389,21,21
800,50,782,398,783,782,1146,399,50,412,412,757,1130,1130,9999,379,9999,412,412,1107,15,1500,380,412,412,412,757,9999,365,363,363,363,363,364,364,705,366,89,0,316,973,694,307,189,306,674,691,841,691,1065,,1069,336,336,,336,336,363,682,974,693,316,814,778,1080,1080,1043,974,389,390,372,372,372,373,,389,390,389,389
1168,51,783,399,783,783,1147,400,51,413,413,758,1131,1131,9999,380,9999,413,413,1108,18,1501,383,413,413,413,760,9999,366,364,364,364,364,365,365,706,,90,1,317,974,697,310,190,307,675,695,842,692,1066,,1072,339,339,,339,339,366,685,977,694,317,815,781,1081,1081,1044,977,390,391,373,373,373,374,,390,391,390,390
1169,52,784,,784,784,1148,401,52,416,416,761,1134,1134,9999,383,9999,416,416,1111,,1504,755,416,416,416,1132,9999,,,364,,,365,365,706,,,1,320,977,1069,682,193,310,363,0,845,695,1069,,,,,,,,,,350,697,320,818,41,1084,1084,1047,350,391,392,374,374,374,,,391,,391,391
1170,,,,,,,,,788,788,29,29,29,9999,755,9999,788,788,50,,89,758,788,788,788,1133,9999,,,,,,,,,,,,693,350,1072,685,89,683,364,1,1218,0,316,,,,,,,,,,353,336,692,57,44,350,350,336,353,,,,,,,,,,,
,,,,,,,,,791,791,32,32,32,9999,758,9999,791,791,53,,92,,791,791,791,1135,9999,,,,,,,,,,,,694,353,,,90,684,,,1219,1,317,,,,,,,,,,,339,695,60,,353,353,339,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,9999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
