"","x"
"1","J10"
"2","J11"
"3","J13"
"4","J14"
"5","J15"
"6","J17"
"7","J19"
"8","J2"
"9","J20"
"10","J22"
"11","J24"
"12","J25"
"13","J4"
"14","J5"
"15","J6"
"16","J8"
"17","K1"
"18","K11"
"19","K13"
"20","K14"
"21","K16"
"22","K19"
"23","K20"
"24","K21"
"25","K23"
"26","K24"
"27","K25"
"28","K26"
"29","K3"
"30","K4"
"31","K5"
"32","K8"
"33","L1"
"34","L10"
"35","L11"
"36","L13"
"37","l14"
"38","L15"
"39","L17"
"40","L19"
"41","L2"
"42","L20"
"43","L22"
"44","L25"
"45","L3"
"46","L4"
"47","L5"
"48","l6"
"49","L7"
"50","L8"
"51","M11"
"52","M13"
"53","M15"
"54","M17"
"55","M18"
"56","M19"
"57","M2"
"58","M21"
"59","M23"
"60","M24"
"61","M26"
"62","M4"
"63","M6"
"64","M8"
"65","M9"
"66","N1"
"67","N10"
"68","N13"
"69","N15"
"70","N16"
"71","N18"
"72","N19"
"73","N21"
"74","N22"
"75","N24"
"76","N25"
"77","N27"
"78","N3"
"79","N5"
"80","N7"
"81","N8"
"82","P10"
"83","P11"
"84","P12"
"85","P14"
"86","P15"
"87","P18"
"88","P19"
"89","P2"
"90","P20"
"91","P23"
"92","P24"
"93","P25"
"94","P4"
"95","P5"
"96","P6"
"97","P7"
"98","P8"
"99","Q1"
"100","Q10"
"101","Q13"
"102","Q14"
"103","Q16"
"104","Q17"
"105","Q18"
"106","Q20"
"107","Q21"
"108","Q22"
"109","Q24"
"110","Q25"
"111","Q3"
"112","Q6"
"113","Q8"
"114","Q9"
"115","R10"
"116","R11"
"117","R13"
"118","R15"
"119","R17"
"120","R19"
"121","R2"
"122","R21"
"123","R22"
"124","R23"
"125","R24"
"126","R26"
"127","R27"
"128","R4"
"129","R7"
"130","R9"
